Status,Country,ReactorCode,Reactor Name,Type,Grid Connection,Commercial operation,Shutdown,LinkA,LinkB
Shut Down,USA,US-271,VERMONT YANKEE, BWR,9/1/1972,11/1/1972,12/1/2014,https://en.wikipedia.org/wiki/Vermont_Yankee_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Vermont_Yankee_Nuclear_Power_Plant
Shut Down,USA,US-29,YANKEE NPS, PWR,11/1/1960,7/1/1961,10/1/1991,https://en.wikipedia.org/wiki/Yankee_Rowe_Nuclear_Power_Station,https://en.wikipedia.org/wiki/Yankee_Rowe_Nuclear_Power_Station
Shut Down,USA,US-295,ZION-1, PWR,6/1/1973,12/1/1973,2/1/1998,https://en.wikipedia.org/wiki/Zion_Nuclear_Power_Station,https://en.wikipedia.org/wiki/Zion_Nuclear_Power_Station
Operational,USA,US-346,DAVIS BESSE-1,PWR,8/1/1977,7/1/1978,1/1/2021,https://en.wikipedia.org/wiki/Davis%25E2%2580%2593Besse_Nuclear_Power_Station,https://en.wikipedia.org/wiki/Davis%25E2%2580%2593Besse_Nuclear_Power_Station
Operational,SPAIN,ES-8,ASCO-1,PWR,8/1/1983,12/1/1984,1/1/2021,https://en.wikipedia.org/wiki/Asc%25C3%25B3_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Asc%25C3%25B3_Nuclear_Power_Plant
Operational,SWITZERLAND,CH-4,GOESGEN,PWR,2/1/1979,11/1/1979,1/1/2021,https://en.wikipedia.org/wiki/G%25C3%25B6sgen_Nuclear_Power_Plant,https://www.world-nuclear.org/reactor/default.aspx/GOESGEN
Operational,CZECHREP.,CZ-23,TEMELIN-1,PWR,12/1/2000,6/1/2002,1/1/2021,https://en.wikipedia.org/wiki/Temel%25C3%25ADn_Nuclear_Power_Station,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/czech-republic.aspx
Operational,SLOVENIA,SI-1,KRSKO,PWR,10/1/1981,1/1/1983,1/1/2021,https://en.wikipedia.org/wiki/Kr%25C5%25A1ko_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Kr%25C5%25A1ko_Nuclear_Power_Plant
Operational,ROMANIA,RO-1,CERNAVODA-1,PHWR,7/1/1996,12/1/1996,1/1/2021,https://en.wikipedia.org/wiki/Cernavod%25C4%2583_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Cernavod%25C4%2583_Nuclear_Power_Plant
Operational,INDIA,IN-25,KUDANKULAM-1,PWR,10/1/2013,12/1/2014,1/1/2021,https://en.wikipedia.org/wiki/Kudankulam_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Kudankulam_Nuclear_Power_Plant
Operational,JAPAN,JP-58,HIGASHI DORI-1 (TOHOKU),BWR,3/1/2005,12/1/2005,1/1/2021,https://en.wikipedia.org/wiki/Higashid%25C5%258Dri_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Higashid%25C5%258Dri_Nuclear_Power_Plant
Operational,FRANCE,FR-40,CHINON B-1,PWR,11/1/1982,2/1/1984,1/1/2021,https://en.wikipedia.org/wiki/Chinon_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Chinon_Nuclear_Power_Plant
