Status,Country,ReactorCode,Reactor Name,Type,Grid Connection,Commercial operation,Shutdown,Latitude,Longitude,Link1,Link2,Link3
Operational,UK,GB-23B,TORNESS-2,GCR,2/1/1989,2/1/1989,,55.96799,-2.40908,https://en.wikipedia.org/wiki/Torness_nuclear_power_station,https://www.world-nuclear.org/reactor/default.aspx/TORNESS-1,
Operational,RUSSIA,RU-21,BELOYARSK-3,FBR,4/1/1980,11/1/1981,,56.84167,61.3225,https://en.wikipedia.org/wiki/Beloyarsk_Nuclear_Power_Station,,
Operational,RUSSIA,RU-116,BELOYARSK-4,FBR,12/1/2015,10/1/2016,,56.84167,61.3225,https://en.wikipedia.org/wiki/Beloyarsk_Nuclear_Power_Station,,
Operational,SWEDEN,SE-4,RINGHALS-1,BWR,10/1/1974,1/1/1976,,57.25972,12.11083,https://en.wikipedia.org/wiki/Ringhals_Nuclear_Power_Plant,https://www.world-nuclear.org/reactor/default.aspx/RINGHALS-2,
Operational,SWEDEN,SE-7,RINGHALS-3,PWR,9/1/1980,9/1/1981,,57.25972,12.11083,https://en.wikipedia.org/wiki/Ringhals_Nuclear_Power_Plant,https://www.world-nuclear.org/reactor/default.aspx/RINGHALS-2,
Operational,SWEDEN,SE-10,RINGHALS-4,PWR,6/1/1982,11/1/1983,,57.25972,12.11083,https://en.wikipedia.org/wiki/Ringhals_Nuclear_Power_Plant,https://www.world-nuclear.org/reactor/default.aspx/RINGHALS-2,
Operational,SWEDEN,SE-12,OSKARSHAMN-3,BWR,3/1/1985,8/1/1985,,57.41556,16.67111,https://en.wikipedia.org/wiki/Oskarshamn_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-30,KALININ-1,PWR,5/1/1984,6/1/1985,,57.90556,35.06028,https://en.wikipedia.org/wiki/Kalinin_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-31,KALININ-2,PWR,12/1/1986,3/1/1987,,57.90556,35.06028,https://en.wikipedia.org/wiki/Kalinin_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-36,KALININ-3,PWR,12/1/2004,11/1/2005,,57.90556,35.06028,https://en.wikipedia.org/wiki/Kalinin_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-37,KALININ-4,PWR,11/1/2011,12/1/2012,,57.90556,35.06028,https://en.wikipedia.org/wiki/Kalinin_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-16,LENINGRAD-2,LWGR,7/1/1975,2/1/1976,,59.84722,29.04361,https://en.wikipedia.org/wiki/Leningrad_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-34,LENINGRAD-3,LWGR,12/1/1979,6/1/1980,,59.84722,29.04361,https://en.wikipedia.org/wiki/Leningrad_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-35,LENINGRAD-4,LWGR,2/1/1981,8/1/1981,,59.84722,29.04361,https://en.wikipedia.org/wiki/Leningrad_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-163,LENINGRAD 2-1,PWR,3/1/2018,10/1/2018,,59.84722,29.04361,https://en.wikipedia.org/wiki/Leningrad_Nuclear_Power_Plant,,
Operational,FINLAND,FI-1,LOVIISA-1,PWR,2/1/1977,5/1/1977,,60.37222,26.34722,https://en.wikipedia.org/wiki/Loviisa_Nuclear_Power_Plant,https://www.world-nuclear.org/reactor/default.aspx/LOVIISA-1,
