index,Country,Reactor Code,Reactor Name,Shut down ,Shutdown reason,Decom. strategy,Current decom.  phase,Current fuel management,Decom. licensee,Licence expiration,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Latitude,Longitude
Decommissioning,UK, GB -2D,CHAPELCROSS-4, 2004-6,"2,8", Dd+PD+SE,8,, Magnox N,2128,,,,,,,55.0157,-3.2261
Decommissioning, LITHUANIA, LT -46,IGNALINA-1, 2004-12,"7,Others", ID,"3,9","2,3,7", INPP,2038,,,,,,,55.60444,26.56
Decommissioning,LITHUANIA, LT -47,IGNALINA-2, 2009-12,"7,Others", ID,"3,9","2,3,7", INPP,2038,,,,,,,55.60444,26.56
Decommissioning,UK, GB -6A,HUNTERSTON A-1, 1990-3,"2,8", Dd+PD+SE,8,, Magnox N,2090,,,,,,,55.72222,-4.89
Decommissioning,UK, GB -6B,HUNTERSTON A-2, 1989-12,"2,8", Dd+PD+SE,8,, Magnox N,2090,,,,,,,55.72222,-4.89
Decommissioning, RUSSIA, RU -3,BELOYARSK-1, 1983-1,Others, Other,,, EA,,,,,,,,56.84167,61.3225
Decommissioning,RUSSIA, RU -6,BELOYARSK-2, 1990-1,Others, Other,,, EA,,,,,,,,56.84167,61.3225
Decommissioning,SWEDEN, SE -2,OSKARSHAMN-1, 2017-6,2, ID,"1,6",4, OKG,,,,,,,,57.41556,16.67111
Decommissioning,SWEDEN, SE -3,OSKARSHAMN-2, 2016-12,2, ID,1,4, OKG,,,,,,,,57.41556,16.67111
Decommissioning,UK, GB -14,DOUNREAY DFR, 1977-3,Others, Dd+PD+SE,5,, DSR,2333,,,,,,,58.57814,-3.75233
Decommissioning,UK, GB -15,DOUNREAY PFR, 1994-3,Others, Dd+PD+SE,5,, Magnox N,2333,,,,,,,58.57814,-3.75233
Decommissioning, ARMENIA, AM -18,ARMENIAN-1, 1989-2,Others, Other,,, ANPPCJSC,,,,,,,,40.180844,44.148908
Decommissioning, BELGIUM, BE -1,BR-3, 1987-6,"2,5", ID,"4,9,10",4, CEN/SCK,,,,,,,,51.218524,5.093236
Decommissioning, FRANCE, FR -10,PHENIX, 2010-2,Others, ID,,,,,,,,,,,44.143333,4.711667
Decommissioning,FRANCE, FR -24,SUPER-PHENIX, 1998-12,Others, ID,9,"3,6", NERSA,,,,,,,,45.758333,5.472222
Decommissioning,GERMANY, DE -13,BRUNSBUETTEL, 2011-8,7, ID,1,3, KKB,,,,,,,,53.891667,9.201667
Decommissioning,GERMANY, DE -20,KRUEMMEL, 2011-8,7, ID,1,3, KKK,,,,,,,,53.41,10.408889
Decommissioning,GERMANY, DE -22,MUELHEIM-KAERLICH, 1988-9,7, Other,,, RWE,,,,,,,,50.408056,7.49
Decommissioning,GERMANY, DE -7,HDR GROSSWELZHEIM, 1971-4,5, Other,,, KIT,1998,,,,,,,50.058056,8.986944
Decommissioning,GERMANY, DE -9,WUERGASSEN, 1994-8,2, ID,,, E.ON,,,,,,,,51.639648,9.391562
Decommissioning,ITALY, IT -3,ENRICO FERMI, 1990-7,"7,Others", ID,6,, SOGIN,2036,,,,,,,45.184094,8.277556
Decommissioning,JAPAN, JP -15,OHI-1, 2018-3,3, Dd+PD+SE,8,, KEPCO,2049,,,,,,,35.540625,135.652033
Decommissioning,JAPAN, JP -19,OHI-2, 2018-3,3, Dd+PD+SE,8,, KEPCO,2049,,,,,,,35.540625,135.652033
Decommissioning,JAPAN, JP -2,TOKAI-1, 1998-3,2, Dd+PD+SE,"3,4,6,7,9",, JAPCO,2030,,,,,,,36.466389,140.606667
Decommissioning, SPAIN, ES -1,JOSE CABRERA-1, 2006-4,Others, ID,,7, UFG,2015,,,,,,,40.349167,-2.884444
Decommissioning,SPAIN, ES -2,SANTA MARIA DE GARONA, 2017-8,Others, ID,1,, NN,2031,,,,,,,42.7753,-3.207292
Decommissioning,SPAIN, ES -3,VANDELLOS-1, 1990-7,4, Dd+PD+SE,8,, ENRESA,2032,,,,,,,40.951389,0.866667
Decommissioning, SWEDEN, SE -1,AGESTA, 1974-6,2, Dd+SE,7,4, VAB,,,,,,,,59.206022,18.082872
Decommissioning,SWEDEN, SE -6,BARSEBACK-1, 1999-11,Others, Other,"1,6",4, BKAB,2033,,,,,,,55.744444,12.920833
Decommissioning,SWEDEN, SE -8,BARSEBACK-2, 2005-5,Others, Other,"1,6",4, BKAB,2033,,,,,,,55.744444,12.920833
Decommissioning,UK, GB -12,WINFRITH SGHWR, 1990-9,Others, ID,"10,11",, UKAEA,2019,,,,,,,50.682,-2.261
Decommissioning,UK, GB -5,WINDSCALE AGR, 1981-4,Others, Dd+PD+SE,7,, SL,2065,,,,,,,54.42522476,-3.504429487
Decommissioning,USA, US -144,CVTR, 1967-1,"7,Others", Dd+SE,,, CVPA,2009,,,,,,,34.2625,-81.329167
