Status,Country,ReactorCode,Reactor Name,Type,Grid Connection,Commercial operation,Shutdown,,,,ARMENIA,BELGIUM,BULGARIA,CANADA,FRANCE,GERMANY,ITALY,JAPAN,KAZAKHSTAN,"KOREA,REP.OF",LITHUANIA,NETHERLANDS,RUSSIA,SLOVAKIA,SPAIN,SWEDEN,SWITZERLAND,UK,UKRAINE,USA,CZECHREP.,SLOVENIA,ROMANIA,INDIA,CHINA,SOUTHAFRICA,HUNGARY,FINLAND,BRAZIL,"IRAN,ISL.REP.",ARGENTINA,PAKISTAN,MEXICO
Shut Down,GERMANY,DE-501,RHEINSBERG, PWR,5/1/1966,10/1/1966,6/1/1990,,1/1/2002,12/31/2002,1,7,6,22,59,19,0,54,0,18,2,1,31,6,9,11,5,33,13,104,6,1,1,14,7,2,4,4,2,0,2,2,2
Shut Down,GERMANY,DE-10,STADE, PWR,1/1/1972,5/1/1972,11/1/2003,,1/1/2003,12/31/2003,1,7,4,22,59,19,0,54,0,19,2,1,30,6,9,11,5,31,13,104,6,1,1,14,8,2,4,4,2,0,2,2,2
Shut Down,GERMANY,DE-19,THTR-300, HTGR,11/1/1985,6/1/1987,9/1/1988,,1/1/2004,12/31/2004,1,7,4,22,59,18,0,54,0,19,2,1,31,6,9,11,5,27,15,104,6,1,1,14,9,2,4,4,2,0,2,2,2
Shut Down,GERMANY,DE-17,UNTERWESER, PWR,9/1/1978,9/1/1979,8/1/2011,,1/1/2005,12/31/2005,1,7,4,22,59,18,0,56,0,20,1,1,31,6,9,11,5,23,15,104,6,1,1,15,9,2,4,4,2,0,2,2,2
Shut Down,GERMANY,DE-1,VAK KAHL, BWR,6/1/1961,2/1/1962,11/1/1985,,1/1/2006,12/31/2006,1,7,4,22,59,17,0,56,0,20,1,1,31,6,9,10,5,23,15,104,6,1,1,16,10,2,4,4,2,0,2,2,2
Shut Down,GERMANY,DE-9,WUERGASSEN, BWR,12/1/1971,11/1/1975,8/1/1994,,1/1/2007,12/31/2007,1,7,2,22,59,17,0,56,0,20,1,1,31,5,8,10,5,19,15,104,6,1,2,17,11,2,4,4,2,0,2,2,2
Shut Down,ITALY,IT-4,CAORSO, BWR,5/1/1978,12/1/1981,7/1/1990,,1/1/2008,12/31/2008,1,7,2,21,59,17,0,56,0,20,1,1,31,5,8,10,5,19,15,104,6,1,2,17,11,2,4,4,2,0,2,2,2
Shut Down,ITALY,IT-3,ENRICO FERMI, PWR,10/1/1964,1/1/1965,7/1/1990,,1/1/2009,12/31/2009,1,7,2,20,59,17,0,55,0,20,1,1,31,4,8,10,5,19,15,104,6,1,2,18,11,2,4,4,2,0,2,2,2
Shut Down,ITALY,IT-2,GARIGLIANO, BWR,1/1/1964,6/1/1964,3/1/1982,,1/1/2010,12/31/2010,1,7,2,20,59,17,0,55,0,21,0,1,32,4,8,10,5,19,15,104,6,1,2,19,13,2,4,4,2,0,2,2,2
Shut Down,ITALY,IT-1,LATINA, GCR,5/1/1963,1/1/1964,12/1/1987,,1/1/2011,12/31/2011,1,7,2,20,58,17,0,55,0,21,0,1,33,4,8,10,5,19,15,104,6,1,2,20,16,2,4,4,2,1,2,3,2
Shut Down,JAPAN,JP-20,FUGEN ATR, HWLWR,7/1/1978,3/1/1979,3/1/2003,,1/1/2012,12/31/2012,1,7,2,20,58,9,0,51,0,23,0,1,33,4,8,10,5,18,15,104,6,1,2,20,17,2,4,4,2,1,2,3,2
Shut Down,JAPAN,JP-5,FUKUSHIMA-DAIICHI-1, BWR,11/1/1970,3/1/1971,5/1/2011,,1/1/2013,12/31/2013,1,7,2,19,58,9,0,51,0,23,0,1,33,4,8,10,5,16,15,104,6,1,2,21,20,2,4,4,2,1,2,3,2
Shut Down,JAPAN,JP-9,FUKUSHIMA-DAIICHI-2, BWR,12/1/1973,7/1/1974,5/1/2011,,1/1/2014,12/31/2014,1,7,2,19,58,9,0,49,0,23,0,1,34,4,8,10,5,16,15,100,6,1,2,21,23,2,4,4,2,1,3,3,2
Shut Down,JAPAN,JP-10,FUKUSHIMA-DAIICHI-3, BWR,10/1/1974,3/1/1976,5/1/2011,,1/1/2015,12/31/2015,1,7,2,19,58,9,0,49,0,24,0,1,35,4,8,10,5,16,15,99,6,1,2,21,31,2,4,4,2,1,3,3,2
Shut Down,JAPAN,JP-16,FUKUSHIMA-DAIICHI-4, BWR,2/1/1978,10/1/1978,5/1/2011,,1/1/2016,12/31/2016,1,7,2,19,58,8,0,44,0,25,0,1,36,4,8,10,5,15,15,100,6,1,2,22,36,2,4,4,2,1,3,4,2
Shut Down,JAPAN,JP-17,FUKUSHIMA-DAIICHI-5, BWR,9/1/1977,4/1/1978,12/1/2013,,1/1/2017,12/31/2017,1,7,2,19,58,8,0,43,0,25,0,1,35,4,8,9,5,15,15,99,6,1,2,22,39,2,4,4,2,1,3,5,2
Shut Down,JAPAN,JP-18,FUKUSHIMA-DAIICHI-6, BWR,5/1/1979,10/1/1979,12/1/2013,,1/1/2018,12/31/2018,1,7,2,19,58,7,0,42,0,24,0,1,37,4,7,8,5,15,15,99,6,1,2,22,46,2,4,4,2,1,3,5,2
Shut Down,JAPAN,JP-25,FUKUSHIMA-DAINI-1, BWR,7/1/1981,4/1/1982,9/1/2019,,1/1/2019,12/31/2019,1,7,2,19,58,7,0,38,0,25,0,1,38,4,7,8,5,15,15,98,6,1,2,22,48,2,4,4,2,1,3,5,2
Shut Down,JAPAN,JP-26,FUKUSHIMA-DAINI-2, BWR,6/1/1983,2/1/1984,9/1/2019,,1/1/2020,12/31/2020,1,7,2,19,58,6,0,33,0,24,0,1,38,4,7,7,4,15,15,96,6,1,2,22,48,2,4,4,2,1,3,5,2
Shut Down,JAPAN,JP-35,FUKUSHIMA-DAINI-3, BWR,12/1/1984,6/1/1985,9/1/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,JAPAN,JP-38,FUKUSHIMA-DAINI-4, BWR,12/1/1986,8/1/1987,9/1/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,JAPAN,JP-12,GENKAI-1, PWR,2/1/1975,10/1/1975,4/1/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,JAPAN,JP-27,GENKAI-2, PWR,6/1/1980,3/1/1981,4/1/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,JAPAN,JP-11,HAMAOKA-1, BWR,8/1/1974,3/1/1976,1/1/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,JAPAN,JP-24,HAMAOKA-2, BWR,5/1/1978,11/1/1978,1/1/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,JAPAN,JP-23,IKATA-1, PWR,2/1/1977,9/1/1977,5/1/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,JAPAN,JP-32,IKATA-2, PWR,8/1/1981,3/1/1982,5/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,JAPAN,JP-1,JPDR, BWR,10/1/1963,3/1/1965,3/1/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,JAPAN,JP-4,MIHAMA-1, PWR,8/1/1970,11/1/1970,4/1/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,JAPAN,JP-6,MIHAMA-2, PWR,4/1/1972,7/1/1972,4/1/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,JAPAN,JP-31,MONJU, FBR,8/1/1995,,12/1/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,JAPAN,JP-15,OHI-1, PWR,12/1/1977,3/1/1979,3/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,JAPAN,JP-19,OHI-2, PWR,10/1/1978,12/1/1979,3/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,JAPAN,JP-22,ONAGAWA-1, BWR,11/1/1983,6/1/1984,12/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,JAPAN,JP-7,SHIMANE-1, BWR,12/1/1973,3/1/1974,4/1/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,JAPAN,JP-2,TOKAI-1, GCR,11/1/1965,7/1/1966,3/1/1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,JAPAN,JP-3,TSURUGA-1, BWR,11/1/1969,3/1/1970,4/1/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,KAZAKHSTAN,KZ-10,AKTAU, FBR,7/1/1973,7/1/1973,4/1/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,"KOREA,REP.OF",KR-1,KORI-1, PWR,6/1/1977,4/1/1978,6/1/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,"KOREA,REP.OF",KR-3,WOLSONG-1, PHWR,12/1/1982,4/1/1983,12/1/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
