Years,Continent,Countries,Reactor Count
1/1/1958,Asia,KAZAKHSTAN,0
1/1/1959,Asia,KAZAKHSTAN,0
1/1/1960,Asia,KAZAKHSTAN,0
1/1/1961,Asia,KAZAKHSTAN,0
1/1/1962,Asia,KAZAKHSTAN,0
1/1/1963,Asia,KAZAKHSTAN,0
1/1/1964,Asia,KAZAKHSTAN,0
1/1/1965,Asia,KAZAKHSTAN,0
1/1/1966,Asia,KAZAKHSTAN,0
1/1/1967,Asia,KAZAKHSTAN,0
1/1/1968,Asia,KAZAKHSTAN,0
1/1/1969,Asia,KAZAKHSTAN,0
1/1/1970,Asia,KAZAKHSTAN,0
1/1/1971,Asia,KAZAKHSTAN,0
1/1/1972,Asia,KAZAKHSTAN,0
1/1/1973,Asia,KAZAKHSTAN,1
1/1/1974,Asia,KAZAKHSTAN,1
1/1/1975,Asia,KAZAKHSTAN,1
1/1/1976,Asia,KAZAKHSTAN,1
1/1/1977,Asia,KAZAKHSTAN,1
1/1/1978,Asia,KAZAKHSTAN,1
1/1/1979,Asia,KAZAKHSTAN,1
1/1/1980,Asia,KAZAKHSTAN,1
1/1/1981,Asia,KAZAKHSTAN,1
1/1/1982,Asia,KAZAKHSTAN,1
1/1/1983,Asia,KAZAKHSTAN,1
1/1/1984,Asia,KAZAKHSTAN,1
1/1/1985,Asia,KAZAKHSTAN,1
1/1/1986,Asia,KAZAKHSTAN,1
1/1/1987,Asia,KAZAKHSTAN,1
1/1/1988,Asia,KAZAKHSTAN,1
1/1/1989,Asia,KAZAKHSTAN,1
1/1/1990,Asia,KAZAKHSTAN,1
1/1/1991,Asia,KAZAKHSTAN,1
1/1/1992,Asia,KAZAKHSTAN,1
1/1/1993,Asia,KAZAKHSTAN,1
1/1/1994,Asia,KAZAKHSTAN,1
1/1/1995,Asia,KAZAKHSTAN,1
1/1/1996,Asia,KAZAKHSTAN,1
1/1/1997,Asia,KAZAKHSTAN,1
1/1/1998,Asia,KAZAKHSTAN,1
1/1/1999,Asia,KAZAKHSTAN,1
1/1/2000,Asia,KAZAKHSTAN,0
