Power station,# units[note 1],Net capacity[note 2](MWe),Country,Degrees,Latitude,Longitude
Hanul,6,"5,928[note 20]",South Korea,37°5′34″N 129°23′1″E﻿ ,37.09278,129.38361
Hartlepool,2,1190,United Kingdom,54°38′06″N 01°10′51″W﻿ ,54.635,1.18083
Heysham,4,2400,United Kingdom,54°01′44″N 02°54′58″W﻿ ,54.02889,2.91611
Higashidōri,1,1067,Japan,41°11′17″N 141°23′25″E﻿ ,41.18806,141.39028
Hongyanhe,4,"4,122[note 21]",China,39°47′52″N 121°28′19″E﻿ ,39.79778,121.47194
Hope Creek,1,1191,United States,39°28′04″N 75°32′17″W﻿ ,39.46778,75.53806
Indian Point,1,"1,030[note 22]",United States,41°16′11″N 73°57′08″W﻿ ,41.26972,73.95222
Isar,1,"1,410[note 23]",Germany,48°36′20″N 12°17′35″E﻿ ,48.60556,12.29306
Joseph M. Farley,2,1711,United States,31°13′23″N 85°06′42″W﻿ ,31.22306,85.11167
Kalinin,4,3800,Russia,57°54′20″N 35°03′37″E﻿ ,57.90556,35.06028
Kashiwazaki-Kariwa,7,"7,965[note 24]",Japan,37°25′45″N 138°35′43″E﻿ ,37.42917,138.59528
Khmelnytskyi,2,"1,900[note 25]",Ukraine,50°18′5″N 26°38′59″E﻿ ,50.30139,26.64972
Koeberg,2,1830,South Africa,33°40′35″S 18°25′55″E﻿ ,33.67639,18.43194
Kola,4,1644,Russia,67°28′00″N 32°28′00″E﻿ ,67.46667,32.46667
Kori,7,"7,489[note 26]",South Korea,35°19′01″N 129°18′00″E﻿ ,35.31694,129.3
Kozloduy,2,"1,906[note 27]",Bulgaria,43°44′46″N 23°46′14″E﻿ ,43.74611,23.77056
Kuosheng,2,1933,Taiwan,25°12′11″N 121°39′46″E﻿ ,25.20306,121.66278
Kudankulam,2,"1,834[note 28]",India,8°10′06″N 77°42′45″E﻿ ,8.16833,77.7125
Kursk,4,"3,700[note 29]",Russia,51°40′30″N 35°36′20″E﻿ ,51.675,35.60556
Laguna Verde,2,1300,Mexico,19°43′15″N 96°24′23″W﻿ ,19.72083,96.40639
LaSalle,2,2238,United States,41°14′44″N 88°40′9″W﻿ ,41.24556,88.66917
Leibstadt,1,1190,Switzerland,47°36′11″N 08°11′05″E﻿ ,47.60306,8.18472
