Country,Reactor Code,Reactor Name,Shut down ,Shutdown reason,Decom. strategy,Current decom.  phase,Current fuel management,Decom. licensee,Licence expiration,,,,,,
UK, GB -7A,HINKLEY POINT A-1, 2000-5,"2,8", Dd+PD+SE,8,, Magnox S,2104,,,,,,
UK, GB -7B,HINKLEY POINT A-2, 2000-5,"2,8", Dd+PD+SE,8,, Magnox S,2104,,,,,,
UK, GB -8A,TRAWSFYNYDD-1, 1991-2,"2,8", Dd+PD+SE,8,, Magnox N,2098,,,,,,
UK, GB -8B,TRAWSFYNYDD-2, 1991-2,"2,8", Dd+PD+SE,8,, Magnox N,2098,,,,,,
UK, GB -9A,DUNGENESS A-1, 2006-12,"2,8", Dd+PD+SE,8,, Magnox S,2111,,,,,,
UK, GB -9B,DUNGENESS A-2, 2006-12,"2,8", Dd+PD+SE,8,, Magnox S,2111,,,,,,
 USA, US -001,SHIPPINGPORT, 1982-10,3, ID,,, DOE DUQU,1989,,,,,,
USA, US -011,ELK RIVER, 1968-2,"1,Others", ID,,, RCPA,1974,,,,,,
USA, US -012,PIQUA, 1966-1,"4,5", ISD,11,, CofPiqua,,,,,,,
USA, US -013,INDIAN POINT-1, 1974-10,5, Dd+PD+SE,,, ENTERGY,,,,,,,
USA, US -014,BONUS, 1968-6,"5,6", ISD,,, DOE/PRWR,1970,,,,,,
USA, US -018,GE VALLECITOS, 1963-12,1, Dd+SE,,, GE&PGEC,,,,,,,
 USA, US -077,HALLAM, 1964-9,5, Dd+SE,,, AEC&NPPD,1971,,,,,,
USA, US -10,DRESDEN-1, 1978-10,6, Dd+SE,"9,11",7, EXELON,,,,,,,
USA, US -130,PATHFINDER, 1967-10,5, Dd+SE,11,, NMC,,,,,,,
USA, US -133,HUMBOLDT BAY, 1976-7,5, Dd+PD+SE,"3,4,6",, PG&E,2013,,,,,,
USA, US -144,CVTR, 1967-1,"7,Others", Dd+SE,,, CVPA,2009,,,,,,
USA, US -146,SAXTON, 1972-5,Others, ID,,, GPUNC,2005,,,,,,
USA, US -155,BIG ROCK POINT, 1997-8,"2,Others", ID,,7, CPC,2007,,,,,,
USA, US -16,FERMI-1, 1972-11,"4,5", Dd+SE,"9,11",, DTEDISON,2025,,,,,,
USA, US -171,PEACH BOTTOM-1, 1974-11,1, Dd+SE,"1,9",, EXELON,,,,,,,
USA, US -206,SAN ONOFRE-1, 1992-11,Others, Dd+PD+SE,4,, SCE,2008,,,,,,
USA, US -213,HADDAM NECK, 1996-12,6, ID,"4,6",, CYAPC,2007,,,,,,
USA, US -245,MILLSTONE-1, 1998-7,6, Dd+PD+SE,,, DOMINRES,,,,,,,
USA, US -267,FORT ST. VRAIN, 1989-8,"1,Others", ID,,, PSCC,1996,,,,,,
USA, US -29,YANKEE NPS, 1991-10,"5,7", ID,"4,6",, YAEC,2005,,,,,,
USA, US -295,ZION-1, 1998-2,"5,6", Dd+PD+SE,"1,9",, CommonEd,,,,,,,
USA, US -304,ZION-2, 1998-2,"5,6", Dd+PD+SE,"1,9",, COMMED,,,,,,,
USA, US -305,KEWAUNEE, 2013-5,"2,6", Dd+SE,,, DOMINRES,,,,,,,
USA, US -309,MAINE YANKEE, 1997-8,6, ID,4,7, MYAPC,2005,,,,,,
USA, US -312,RANCHO SECO-1, 1989-6,"5,6", Dd+PD+SE,,, SMUD,2009,,,,,,
USA, US -320,THREE MILE ISLAND-2, 1979-3,"4,5", Other,"9,11",4, GPU,,,,,,,
USA, US -322,SHOREHAM, 1989-5,"7,Others", ID,,, LIPA,1995,,,,,,
USA, US -344,TROJAN, 1992-11,6, Dd+PD+SE,9,, PORTGE,2005,,,,,,
USA, US -409,LACROSSE, 1987-4,2, Dd+PD+SE,9,7, DPC,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
